"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 02월 07일","99,000","100,000","100,000","98,700","306.90K","-0.60%"
"2019년 02월 06일","99,600","99,600","99,600","99,600","-","0.00%"
"2019년 02월 01일","99,600","99,400","100,500","99,200","347.43K","0.30%"
"2019년 01월 31일","99,300","100,500","100,500","98,800","544.56K","-0.60%"
"2019년 01월 30일","99,900","102,000","102,500","99,500","563.26K","-2.06%"
"2019년 01월 29일","102,000","101,500","102,000","101,000","224.60K","0.00%"
"2019년 01월 28일","102,000","103,000","104,000","101,500","275.08K","-0.49%"
"2019년 01월 27일","102,500","102,500","102,500","102,500","-","0.00%"
"2019년 01월 25일","102,500","101,500","103,000","101,000","354.46K","0.49%"
"2019년 01월 24일","102,000","102,500","103,500","101,000","282.03K","-0.49%"
"2019년 01월 23일","102,500","101,500","103,000","100,500","359.29K","0.49%"
"2019년 01월 22일","102,000","99,400","102,500","99,300","447.66K","3.24%"
"2019년 01월 21일","98,800","99,900","100,000","98,700","252.03K","-0.80%"
"2019년 01월 20일","99,600","99,600","99,600","99,600","-","0.00%"
"2019년 01월 18일","99,600","99,000","99,900","98,900","290.79K","1.12%"
"2019년 01월 17일","98,500","100,000","102,000","98,500","434.31K","-1.50%"
"2019년 01월 16일","100,000","100,500","101,000","99,800","216.77K","0.10%"
"2019년 01월 15일","99,900","100,000","102,500","99,500","379.30K","-0.10%"
"2019년 01월 14일","100,000","102,000","102,000","99,800","241.94K","-1.96%"
"2019년 01월 13일","102,000","102,000","102,000","102,000","-","0.00%"
"2019년 01월 11일","102,000","101,000","103,500","101,000","180.01K","0.99%"
"2019년 01월 10일","101,000","101,000","103,000","100,500","289.89K","-0.98%"
"2019년 01월 09일","102,000","100,500","102,500","100,000","356.40K","2.10%"
"2019년 01월 08일","99,900","102,500","103,000","99,500","449.57K","-3.01%"
"2019년 01월 07일","103,000","105,000","107,000","102,000","376.28K","-0.48%"
"2019년 01월 06일","103,500","103,500","103,500","103,500","-","0.00%"
"2019년 01월 04일","103,500","102,000","104,000","101,500","250.84K","0.98%"
"2019년 01월 03일","102,500","102,500","105,500","100,500","293.72K","0.49%"
"2019년 01월 02일","102,000","103,500","105,000","101,500","172.53K","-0.97%"
"2019년 01월 01일","103,000","103,000","103,000","103,000","-","0.00%"
"2018년 12월 28일","103,000","101,000","104,500","101,000","190.54K","1.48%"
"2018년 12월 27일","101,500","100,500","102,000","100,000","216.63K","3.05%"
"2018년 12월 26일","98,500","99,000","100,500","98,000","491.63K","-2.48%"
"2018년 12월 25일","101,000","101,000","101,000","101,000","-","0.00%"
"2018년 12월 24일","101,000","104,500","104,500","100,000","318.78K","-3.35%"
"2018년 12월 23일","104,500","104,500","104,500","104,500","-","0.00%"
"2018년 12월 21일","104,500","102,500","104,500","101,000","428.86K","1.46%"
"2018년 12월 20일","103,000","107,000","107,000","101,000","578.50K","-4.63%"
"2018년 12월 19일","108,000","108,500","109,000","106,000","217.76K","-0.46%"
"2018년 12월 18일","108,500","108,500","111,000","107,000","188.51K","-1.81%"
"2018년 12월 17일","110,500","110,000","112,000","108,500","172.86K","0.45%"
"2018년 12월 16일","110,000","110,000","110,000","110,000","-","0.00%"
"2018년 12월 14일","110,000","110,500","111,500","109,000","188.75K","-1.35%"
"2018년 12월 13일","111,500","111,500","114,500","110,500","494.12K","1.36%"
"2018년 12월 12일","110,000","107,000","111,000","105,500","393.19K","2.80%"
"2018년 12월 11일","107,000","110,000","110,500","106,500","460.34K","-3.60%"
"2018년 12월 10일","111,000","113,000","113,500","110,000","329.98K","-3.06%"
"2018년 12월 09일","114,500","114,500","114,500","114,500","-","0.00%"
"2018년 12월 07일","114,500","116,500","117,000","112,000","353.83K","-1.29%"
"2018년 12월 06일","116,000","115,000","117,500","114,500","395.10K","1.31%"
"2018년 12월 05일","114,500","112,000","115,000","111,500","221.56K","0.88%"
"2018년 12월 04일","113,500","114,000","115,000","113,000","262.87K","0.00%"
"2018년 12월 03일","113,500","114,500","115,000","112,500","261.35K","0.89%"
"2018년 12월 02일","112,500","112,500","112,500","112,500","-","0.00%"
"2018년 11월 30일","112,500","112,000","113,000","111,500","346.40K","0.45%"
"2018년 11월 29일","112,000","113,000","114,000","111,000","262.62K","0.00%"
"2018년 11월 28일","112,000","111,500","113,000","111,000","185.19K","1.36%"
"2018년 11월 27일","110,500","113,000","114,000","110,000","270.01K","-1.78%"
"2018년 11월 26일","112,500","107,500","113,000","107,500","456.27K","4.17%"
"2018년 11월 25일","108,000","108,000","108,000","108,000","-","0.00%"
"2018년 11월 23일","108,000","107,000","109,500","106,000","242.13K","1.41%"
"2018년 11월 22일","106,500","107,000","107,500","106,000","143.23K","-0.93%"
"2018년 11월 21일","107,500","105,000","107,500","104,500","205.19K","0.47%"
"2018년 11월 20일","107,000","106,500","107,500","105,000","234.48K","0.00%"
"2018년 11월 19일","107,000","102,500","107,500","102,500","345.89K","4.39%"
"2018년 11월 18일","102,500","102,500","102,500","102,500","-","0.00%"
"2018년 11월 16일","102,500","105,000","106,000","102,000","190.18K","-1.44%"
"2018년 11월 15일","104,000","102,500","104,000","101,500","163.97K","0.97%"
"2018년 11월 14일","103,000","102,500","104,000","101,500","250.71K","1.48%"
"2018년 11월 13일","101,500","98,800","101,500","98,700","277.65K","0.50%"
"2018년 11월 12일","101,000","101,000","101,500","100,000","200.85K","0.50%"
"2018년 11월 11일","100,500","100,500","100,500","100,500","-","0.00%"
"2018년 11월 09일","100,500","100,000","102,000","98,700","286.51K","0.50%"
"2018년 11월 08일","100,000","97,900","102,000","97,800","643.59K","4.60%"
"2018년 11월 07일","95,600","97,100","97,700","95,200","267.67K","-1.04%"
"2018년 11월 06일","96,600","95,700","97,500","95,000","195.34K","1.15%"
"2018년 11월 05일","95,500","97,000","97,400","94,700","338.92K","-2.75%"
"2018년 11월 02일","98,200","95,200","98,500","94,100","407.84K","5.48%"
"2018년 11월 01일","93,100","92,000","95,600","91,900","372.21K","1.64%"
"2018년 10월 31일","91,600","90,900","92,800","89,700","334.20K","1.22%"
"2018년 10월 30일","90,500","86,000","91,100","86,000","520.67K","3.31%"
"2018년 10월 29일","87,600","89,900","92,400","87,200","593.75K","-3.63%"
"2018년 10월 26일","90,900","95,000","95,500","89,900","650.61K","-3.50%"
"2018년 10월 25일","94,200","97,300","97,300","92,000","1.02M","-5.04%"
"2018년 10월 24일","99,200","101,000","101,500","98,900","311.39K","-1.29%"
"2018년 10월 23일","100,500","102,500","103,500","100,000","192.97K","-1.95%"
"2018년 10월 22일","102,500","101,500","104,000","100,500","207.43K","1.49%"
"2018년 10월 19일","101,000","100,000","102,000","99,100","267.38K","0.50%"
"2018년 10월 18일","100,500","100,000","101,500","99,700","172.17K","0.00%"
"2018년 10월 17일","100,500","103,000","103,000","100,000","301.88K","0.00%"
"2018년 10월 16일","100,500","99,300","101,000","99,300","183.24K","1.21%"
"2018년 10월 15일","99,300","101,000","102,000","99,200","219.23K","-1.68%"
"2018년 10월 14일","101,000","101,000","101,000","101,000","-","0.00%"
"2018년 10월 12일","101,000","98,500","102,000","97,600","535.84K","2.54%"
"2018년 10월 11일","98,500","100,000","102,000","98,500","951.81K","-5.29%"
"2018년 10월 10일","104,000","106,500","108,500","104,000","511.78K","-3.26%"
"2018년 10월 09일","107,500","107,500","107,500","107,500","-","0.00%"
"2018년 10월 08일","107,500","107,500","110,500","107,500","183.30K","-1.38%"
"2018년 10월 07일","109,000","109,000","109,000","109,000","-","0.00%"
"2018년 10월 05일","109,000","110,500","111,500","108,500","475.82K","-2.68%"
"2018년 10월 04일","112,000","114,500","115,500","111,000","602.10K","-3.03%"
"2018년 10월 03일","115,500","115,500","115,500","115,500","-","0.00%"
"2018년 10월 02일","115,500","120,500","121,000","114,500","613.51K","-3.35%"
"2018년 10월 01일","119,500","120,000","123,500","119,500","365.88K","0.42%"
"2018년 09월 30일","119,000","119,000","119,000","119,000","-","0.00%"
"2018년 09월 28일","119,000","120,000","120,500","119,000","228.59K","-1.24%"
"2018년 09월 27일","120,500","119,000","121,000","119,000","274.85K","1.69%"
"2018년 09월 26일","118,500","118,500","118,500","118,500","-","0.00%"
"2018년 09월 21일","118,500","121,500","123,500","118,500","664.73K","0.85%"
"2018년 09월 20일","117,500","118,000","119,500","117,000","306.37K","0.43%"
"2018년 09월 19일","117,000","121,000","121,000","116,500","575.57K","-2.90%"
"2018년 09월 18일","120,500","122,000","122,500","120,000","377.53K","-0.82%"
"2018년 09월 17일","121,500","120,500","121,500","118,000","351.22K","1.25%"
"2018년 09월 16일","120,000","120,000","120,000","120,000","-","0.00%"
"2018년 09월 14일","120,000","120,500","121,000","118,500","286.08K","-0.83%"
"2018년 09월 13일","121,000","121,000","122,000","119,500","407.00K","0.83%"
"2018년 09월 12일","120,000","116,500","120,500","116,500","344.33K","3.00%"
"2018년 09월 11일","116,500","118,500","118,500","116,000","423.19K","-2.10%"
"2018년 09월 10일","119,000","119,000","120,500","118,500","214.90K","-0.83%"
"2018년 09월 09일","120,000","120,000","120,000","120,000","-","0.00%"
"2018년 09월 07일","120,000","120,000","120,500","118,500","205.47K","0.00%"
"2018년 09월 06일","120,000","121,500","122,000","119,000","298.32K","-0.83%"
"2018년 09월 05일","121,000","122,000","123,500","121,000","214.62K","-0.82%"
"2018년 09월 04일","122,000","121,500","123,000","120,500","267.76K","0.41%"
"2018년 09월 03일","121,500","125,000","125,500","121,000","458.85K","-2.80%"
"2018년 09월 02일","125,000","125,000","125,000","125,000","-","0.00%"
"2018년 08월 31일","125,000","124,000","125,500","123,000","431.04K","-1.19%"
"2018년 08월 30일","126,500","126,500","128,000","125,500","296.53K","0.00%"
"2018년 08월 29일","126,500","125,000","127,500","124,000","749.03K","0.80%"
"2018년 08월 28일","125,500","127,000","127,500","123,500","479.85K","-1.95%"
"2018년 08월 27일","128,000","124,000","128,000","124,000","579.88K","3.23%"
"2018년 08월 26일","124,000","124,000","124,000","124,000","-","0.00%"
"2018년 08월 24일","124,000","125,000","125,000","123,000","280.28K","-1.20%"
"2018년 08월 23일","125,500","125,000","126,000","123,500","289.91K","0.80%"
"2018년 08월 22일","124,500","125,500","125,500","122,500","331.88K","0.40%"
"2018년 08월 21일","124,000","125,000","126,500","124,000","351.34K","-0.40%"
"2018년 08월 20일","124,500","127,000","128,000","124,000","327.12K","-1.97%"
"2018년 08월 19일","127,000","127,000","127,000","127,000","-","0.00%"
"2018년 08월 17일","127,000","128,500","129,000","126,500","325.94K","-0.39%"
"2018년 08월 16일","127,500","124,500","128,000","124,000","474.46K","0.00%"
"2018년 08월 15일","127,500","127,500","127,500","127,500","-","0.00%"
"2018년 08월 14일","127,500","125,000","128,500","123,000","506.40K","2.82%"
"2018년 08월 13일","124,000","126,500","127,500","122,500","633.05K","-3.13%"
"2018년 08월 12일","128,000","128,000","128,000","128,000","-","0.00%"
"2018년 08월 10일","128,000","125,500","129,500","124,000","1.26M","1.99%"
"2018년 08월 09일","125,500","121,000","126,000","119,500","1.61M","5.46%"
"2018년 08월 08일","119,000","122,000","124,500","118,000","1.21M","-0.83%"
"2018년 08월 07일","120,000","114,000","120,000","113,000","712.33K","5.73%"
"2018년 08월 06일","113,500","113,500","114,500","112,500","189.38K","0.44%"
"2018년 08월 05일","113,000","113,000","113,000","113,000","-","0.00%"
"2018년 08월 03일","113,000","111,500","113,000","111,500","167.76K","1.80%"
"2018년 08월 02일","111,000","112,500","115,000","111,000","310.43K","-1.33%"
"2018년 08월 01일","112,500","112,500","113,500","111,500","275.77K","0.00%"
"2018년 07월 31일","112,500","115,000","116,000","111,500","653.46K","-3.43%"
"2018년 07월 30일","116,500","118,500","119,000","116,000","307.39K","-2.51%"
"2018년 07월 29일","119,500","119,500","119,500","119,500","-","0.00%"
"2018년 07월 27일","119,500","117,500","120,000","116,500","565.33K","1.70%"
"2018년 07월 26일","117,500","118,000","118,500","116,000","260.39K","-0.42%"
"2018년 07월 25일","118,000","117,500","118,000","116,000","307.67K","0.85%"
"2018년 07월 24일","117,000","115,500","118,000","115,000","501.87K","1.30%"
"2018년 07월 23일","115,500","115,000","117,000","113,500","345.78K","0.43%"
"2018년 07월 20일","115,000","114,000","115,500","113,000","184.52K","0.88%"
"2018년 07월 19일","114,000","113,000","115,500","112,500","266.36K","0.88%"
"2018년 07월 18일","113,000","115,000","116,500","112,000","348.13K","-0.88%"
"2018년 07월 17일","114,000","116,000","116,500","113,500","370.96K","-2.15%"
"2018년 07월 16일","116,500","118,000","118,500","115,500","235.14K","-1.27%"
"2018년 07월 15일","118,000","118,000","118,000","118,000","-","0.00%"
"2018년 07월 13일","118,000","118,000","119,000","116,500","300.57K","0.43%"
"2018년 07월 12일","117,500","117,000","118,000","115,500","443.57K","0.86%"
"2018년 07월 11일","116,500","116,000","117,000","115,000","248.66K","-0.43%"
"2018년 07월 10일","117,000","117,500","118,000","116,000","221.71K","-0.43%"
"2018년 07월 09일","117,500","114,500","117,500","114,500","392.49K","2.62%"
"2018년 07월 08일","114,500","114,500","114,500","114,500","-","0.00%"
"2018년 07월 06일","114,500","116,500","117,000","113,000","382.11K","-1.72%"
"2018년 07월 05일","116,500","117,000","118,500","115,500","346.66K","-0.43%"
"2018년 07월 04일","117,000","114,500","118,000","114,000","843.94K","2.63%"
"2018년 07월 03일","114,000","113,500","115,000","112,500","313.57K","2.24%"
"2018년 07월 02일","111,500","115,500","116,500","111,500","414.28K","-2.62%"
"2018년 06월 29일","114,500","113,000","115,500","112,000","578.74K","2.69%"
"2018년 06월 28일","111,500","110,000","112,500","109,000","220.77K","0.45%"
"2018년 06월 27일","111,000","112,500","113,500","110,000","309.34K","-0.89%"
"2018년 06월 26일","112,000","112,500","113,000","111,000","249.29K","-1.75%"
"2018년 06월 25일","114,000","114,000","114,500","112,000","344.82K","0.00%"
"2018년 06월 24일","114,000","114,000","114,000","114,000","-","0.00%"
"2018년 06월 22일","114,000","106,500","114,500","106,500","649.57K","6.54%"
"2018년 06월 21일","107,000","107,500","109,000","106,000","172.38K","-0.93%"
"2018년 06월 20일","108,000","106,000","109,000","106,000","289.83K","1.41%"
"2018년 06월 19일","106,500","107,000","110,500","105,500","249.70K","-0.93%"
"2018년 06월 18일","107,500","109,000","110,000","106,000","404.77K","-1.83%"
"2018년 06월 17일","109,500","109,500","109,500","109,500","-","0.00%"
"2018년 06월 15일","109,500","112,000","112,000","109,000","335.21K","-2.23%"
"2018년 06월 14일","112,000","114,000","114,000","112,000","248.11K","-1.75%"
"2018년 06월 13일","114,000","114,000","114,000","114,000","-","0.00%"
"2018년 06월 12일","114,000","114,000","114,500","113,000","178.99K","0.00%"
"2018년 06월 11일","114,000","113,000","114,500","112,000","250.19K","0.88%"
"2018년 06월 10일","113,000","113,000","113,000","113,000","-","0.00%"
"2018년 06월 08일","113,000","112,000","113,500","110,500","392.46K","1.35%"
"2018년 06월 07일","111,500","112,000","113,500","109,000","354.21K","0.00%"
"2018년 06월 06일","111,500","111,500","111,500","111,500","-","0.00%"
"2018년 06월 05일","111,500","108,000","112,000","107,000","476.15K","3.24%"
"2018년 06월 04일","108,000","104,000","108,500","104,000","431.20K","3.35%"
"2018년 06월 03일","104,500","104,500","104,500","104,500","-","0.00%"
"2018년 06월 01일","104,500","103,500","107,000","103,500","377.36K","0.97%"
"2018년 05월 31일","103,500","104,500","106,000","103,000","466.28K","-0.48%"
"2018년 05월 30일","104,000","107,000","107,500","103,500","596.97K","-3.70%"
"2018년 05월 29일","108,000","108,000","110,000","107,500","316.01K","0.00%"
"2018년 05월 28일","108,000","111,000","111,500","108,000","676.75K","-3.57%"
"2018년 05월 27일","112,000","112,000","112,000","112,000","-","0.00%"
"2018년 05월 25일","112,000","112,000","114,000","111,500","255.91K","-0.88%"
"2018년 05월 24일","113,000","112,000","114,000","112,000","207.38K","0.44%"
"2018년 05월 23일","112,500","113,000","114,500","112,500","283.73K","-0.88%"
"2018년 05월 22일","113,500","113,500","113,500","113,500","-","0.00%"
"2018년 05월 21일","113,500","113,500","114,500","112,500","173.63K","0.00%"
"2018년 05월 20일","113,500","113,500","113,500","113,500","-","0.00%"
"2018년 05월 18일","113,500","118,500","119,000","112,500","811.71K","-2.58%"
"2018년 05월 17일","116,500","117,500","118,500","116,000","333.43K","-0.43%"
"2018년 05월 16일","117,000","114,500","117,000","113,500","464.74K","2.18%"
"2018년 05월 15일","114,500","112,000","115,000","112,000","318.08K","1.33%"
"2018년 05월 14일","113,000","114,500","116,000","111,000","655.03K","-3.42%"
"2018년 05월 13일","117,000","117,000","117,000","117,000","-","0.00%"
"2018년 05월 11일","117,000","117,500","118,000","116,000","346.05K","0.00%"
"2018년 05월 10일","117,000","113,000","118,000","111,000","837.02K","3.54%"
"2018년 05월 09일","113,000","111,000","113,000","110,500","329.70K","0.89%"
"2018년 05월 08일","112,000","112,000","113,000","110,000","328.26K","0.00%"
"2018년 05월 07일","112,000","112,000","112,000","112,000","-","0.00%"
"2018년 05월 04일","112,000","113,000","113,500","111,500","249.45K","-1.32%"
"2018년 05월 03일","113,500","114,500","116,500","113,000","349.95K","-0.87%"
"2018년 05월 02일","114,500","110,500","114,500","109,500","525.16K","3.15%"
"2018년 05월 01일","111,000","111,000","111,000","111,000","-","0.00%"
"2018년 04월 30일","111,000","113,500","114,000","110,000","616.92K","-2.20%"
"2018년 04월 29일","113,500","113,500","113,500","113,500","-","0.00%"
"2018년 04월 27일","113,500","115,000","115,500","112,000","378.35K","-0.44%"
"2018년 04월 26일","114,000","116,500","117,500","113,500","364.89K","-1.30%"
"2018년 04월 25일","115,500","115,500","119,000","113,500","576.02K","0.43%"
"2018년 04월 24일","115,000","112,000","115,500","111,000","471.01K","3.60%"
"2018년 04월 23일","111,000","114,500","114,500","111,000","667.27K","-3.48%"
"2018년 04월 22일","115,000","115,000","115,000","115,000","-","0.00%"
"2018년 04월 20일","115,000","116,500","117,500","113,500","647.34K","-1.29%"
"2018년 04월 19일","116,500","119,000","119,000","116,000","647.84K","-2.51%"
"2018년 04월 18일","119,500","120,000","121,500","118,500","494.06K","1.27%"
"2018년 04월 17일","118,000","117,500","120,000","117,500","397.54K","0.85%"
"2018년 04월 16일","117,000","120,500","120,500","116,500","811.03K","-2.90%"
"2018년 04월 15일","120,500","120,500","120,500","120,500","-","0.00%"
"2018년 04월 13일","120,500","120,500","122,000","119,500","367.34K","0.42%"
"2018년 04월 12일","120,000","122,000","122,500","120,000","364.73K","-1.23%"
"2018년 04월 11일","121,500","124,000","125,000","121,000","375.45K","-0.82%"
"2018년 04월 10일","122,500","121,500","123,500","121,500","321.44K","0.82%"
"2018년 04월 09일","121,500","121,500","122,500","120,000","545.32K","-0.82%"
"2018년 04월 08일","122,500","122,500","122,500","122,500","-","0.00%"
"2018년 04월 06일","122,500","125,000","125,500","122,000","358.93K","-1.61%"
"2018년 04월 05일","124,500","125,000","126,000","124,000","298.35K","0.81%"
"2018년 04월 04일","123,500","129,000","129,000","123,500","720.70K","-3.89%"
"2018년 04월 03일","128,500","127,000","130,500","126,500","481.80K","-0.39%"
"2018년 04월 02일","129,000","132,500","133,500","128,500","453.03K","-2.27%"
"2018년 04월 01일","132,000","132,000","132,000","132,000","-","0.00%"
"2018년 03월 30일","132,000","131,500","133,500","130,000","445.35K","1.93%"
"2018년 03월 29일","129,500","129,500","131,000","126,500","436.23K","0.39%"
"2018년 03월 28일","129,000","129,000","130,500","128,000","461.38K","-1.90%"
"2018년 03월 27일","131,500","134,500","134,500","131,000","397.72K","0.38%"
"2018년 03월 26일","131,000","129,500","132,500","126,500","835.47K","0.38%"
"2018년 03월 25일","130,500","130,500","130,500","130,500","-","0.00%"
"2018년 03월 23일","130,500","135,000","136,000","129,500","1.18M","-5.43%"
"2018년 03월 22일","138,000","137,000","139,000","135,500","566.55K","0.00%"
"2018년 03월 21일","138,000","139,000","140,000","137,500","412.81K","-0.72%"
"2018년 03월 20일","139,000","135,500","140,000","135,000","552.97K","1.09%"
"2018년 03월 19일","137,500","140,000","140,500","136,000","605.72K","-2.48%"
"2018년 03월 18일","141,000","141,000","141,000","141,000","-","0.00%"
"2018년 03월 16일","141,000","141,500","143,000","139,000","1.02M","-0.35%"
"2018년 03월 15일","141,500","137,500","141,500","137,000","947.57K","3.28%"
"2018년 03월 14일","137,000","139,500","140,000","136,000","700.39K","-2.49%"
"2018년 03월 13일","140,500","135,500","141,000","135,000","1.31M","4.07%"
"2018년 03월 12일","135,000","136,000","136,500","134,500","383.29K","0.75%"
"2018년 03월 11일","134,000","134,000","134,000","134,000","-","0.00%"
"2018년 03월 09일","134,000","133,000","135,500","131,000","751.40K","1.52%"
"2018년 03월 08일","132,000","129,500","132,000","128,500","497.46K","1.93%"
"2018년 03월 07일","129,500","133,000","133,500","129,000","595.16K","-2.26%"
"2018년 03월 06일","132,500","126,000","134,000","126,000","1.16M","7.72%"
"2018년 03월 05일","123,000","127,500","128,000","123,000","413.78K","-3.53%"
"2018년 03월 04일","127,500","127,500","127,500","127,500","-","0.00%"
"2018년 03월 02일","127,500","126,500","128,500","124,500","472.04K","-0.39%"
"2018년 03월 01일","128,000","128,000","128,000","128,000","-","0.00%"
"2018년 02월 28일","128,000","130,000","132,500","127,000","773.59K","-2.29%"
"2018년 02월 27일","131,000","124,000","131,000","124,000","1.27M","6.50%"
"2018년 02월 26일","123,000","124,500","124,500","122,500","302.53K","-0.40%"
"2018년 02월 25일","123,500","123,500","123,500","123,500","-","0.00%"
"2018년 02월 23일","123,500","123,500","124,000","122,000","300.33K","0.00%"
"2018년 02월 22일","123,500","124,500","125,000","122,000","304.86K","-0.80%"
"2018년 02월 21일","124,500","123,500","125,500","122,000","395.23K","1.22%"
"2018년 02월 20일","123,000","124,000","124,500","121,500","286.74K","-0.81%"
"2018년 02월 19일","124,000","126,000","126,000","123,000","415.55K","1.22%"
"2018년 02월 18일","122,500","122,500","122,500","122,500","-","0.00%"
"2018년 02월 14일","122,500","119,500","125,000","119,000","856.03K","2.94%"
"2018년 02월 13일","119,000","120,000","121,000","118,500","708.13K","0.85%"
"2018년 02월 12일","118,000","119,000","120,000","116,500","812.37K","0.00%"
"2018년 02월 11일","118,000","118,000","118,000","118,000","-","0.00%"
"2018년 02월 09일","118,000","121,500","124,500","117,000","2.06M","-6.72%"
"2018년 02월 08일","126,500","127,000","130,000","124,500","1.01M","0.00%"
"2018년 02월 07일","126,500","134,000","134,500","126,500","999.84K","-3.44%"
"2018년 02월 06일","131,000","126,500","131,000","125,000","1.75M","-2.60%"
"2018년 02월 05일","134,500","139,500","140,000","134,500","1.52M","-6.27%"
"2018년 02월 04일","143,500","143,500","143,500","143,500","-","0.00%"
"2018년 02월 02일","143,500","142,000","145,000","141,500","1.87M","1.41%"
"2018년 02월 01일","141,500","140,000","142,000","137,500","908.23K","1.07%"
"2018년 01월 31일","140,000","137,500","140,000","135,000","937.88K","1.08%"
"2018년 01월 30일","138,500","139,000","140,500","137,500","638.40K","-0.36%"
"2018년 01월 29일","139,000","141,000","141,500","138,500","704.10K","-0.71%"
"2018년 01월 28일","140,000","140,000","140,000","140,000","-","0.00%"
"2018년 01월 26일","140,000","136,000","141,000","135,000","1.27M","3.70%"
"2018년 01월 25일","135,000","135,000","137,500","134,500","646.52K","0.00%"
"2018년 01월 24일","135,000","136,500","138,000","134,500","758.45K","-1.10%"
"2018년 01월 23일","136,500","135,500","138,000","135,000","959.97K","0.74%"
"2018년 01월 22일","135,500","138,000","139,000","135,000","810.72K","-1.81%"
"2018년 01월 21일","138,000","138,000","138,000","138,000","-","0.00%"
"2018년 01월 19일","138,000","136,000","139,000","134,000","1.13M","1.85%"
"2018년 01월 18일","135,500","134,500","138,500","134,000","1.96M","1.12%"
"2018년 01월 17일","134,000","139,000","139,000","133,000","2.40M","-4.63%"
"2018년 01월 16일","140,500","144,500","145,000","140,000","1.07M","-3.10%"
"2018년 01월 15일","145,000","141,500","147,500","141,500","1.25M","3.20%"
"2018년 01월 14일","140,500","140,500","140,500","140,500","-","0.00%"
"2018년 01월 12일","140,500","145,500","145,500","139,000","1.37M","0.00%"
"2018년 01월 11일","140,500","142,000","146,500","138,000","2.41M","-6.02%"
"2018년 01월 10일","149,500","156,000","158,500","148,000","1.64M","-4.78%"
"2018년 01월 09일","157,000","158,000","160,000","154,500","1.01M","-1.57%"
"2018년 01월 08일","159,500","160,500","162,500","158,000","1.47M","2.24%"
"2018년 01월 07일","156,000","156,000","156,000","156,000","-","0.00%"
"2018년 01월 05일","156,000","157,000","158,000","152,000","1.06M","0.00%"
"2018년 01월 04일","156,000","152,500","159,000","149,500","2.25M","4.70%"
"2018년 01월 03일","149,000","150,500","151,000","145,500","1.15M","1.71%"
"2018년 01월 02일","146,500","140,000","147,000","139,500","1.34M","6.93%"
"2018년 01월 01일","137,000","137,000","137,000","137,000","-","0.00%"
"2017년 12월 28일","137,000","139,500","141,500","134,500","944.40K","-1.79%"
"2017년 12월 27일","139,500","130,000","140,000","129,500","1.56M","10.71%"
"2017년 12월 26일","126,000","130,500","130,500","125,000","725.51K","-2.70%"
"2017년 12월 25일","129,500","129,500","129,500","129,500","-","0.00%"
"2017년 12월 22일","129,500","128,000","130,500","126,500","584.48K","0.39%"
"2017년 12월 21일","129,000","134,000","134,000","129,000","712.31K","-3.37%"
"2017년 12월 20일","133,500","135,000","137,500","133,500","389.23K","-1.48%"
"2017년 12월 19일","135,500","133,500","136,500","131,500","679.30K","0.74%"
"2017년 12월 18일","134,500","138,000","139,500","133,500","1.46M","-5.61%"
"2017년 12월 17일","142,500","142,500","142,500","142,500","-","0.00%"
"2017년 12월 15일","142,500","144,500","145,000","142,000","306.22K","-1.04%"
"2017년 12월 14일","144,000","142,000","145,000","142,000","638.68K","2.13%"
"2017년 12월 13일","141,000","141,000","142,000","138,500","282.39K","0.00%"
"2017년 12월 12일","141,000","139,500","143,500","138,000","439.92K","0.71%"
"2017년 12월 11일","140,000","140,500","140,500","138,000","283.64K","1.08%"
"2017년 12월 10일","138,500","138,500","138,500","138,500","0.73K","0.00%"
"2017년 12월 08일","138,500","137,000","140,500","137,000","563.21K","2.21%"
"2017년 12월 07일","135,500","138,000","139,000","133,000","812.09K","-1.81%"
"2017년 12월 06일","138,000","139,500","143,000","138,000","467.02K","-1.78%"
"2017년 12월 05일","140,500","139,000","141,000","134,000","732.94K","0.72%"
"2017년 12월 04일","139,500","140,500","143,000","138,500","479.65K","-0.36%"
"2017년 12월 03일","140,000","140,000","140,000","140,000","1.25K","0.00%"
"2017년 12월 01일","140,000","136,500","141,000","136,500","864.63K","2.56%"
"2017년 11월 30일","136,500","145,000","145,500","135,000","1.78M","-5.86%"
"2017년 11월 29일","145,000","146,000","146,500","142,000","905.80K","-0.34%"
"2017년 11월 28일","145,500","147,500","148,000","145,000","648.99K","-1.36%"
"2017년 11월 27일","147,500","147,500","151,000","147,000","769.55K","-0.34%"
"2017년 11월 26일","148,000","148,000","148,000","148,000","0.22K","0.00%"
"2017년 11월 24일","148,000","150,000","153,500","146,500","1.15M","-1.00%"
"2017년 11월 23일","149,500","155,000","156,000","149,500","1.17M","-3.24%"
